10000 100000
7481 1074 7
3091 9154 8
9455 1400 9
1549 7644 6
4679 564 10
7194 508 3
7364 4128 10
9641 996 3
4342 9045 4
1968 6060 10
463 3994 8
6529 5653 2
3225 8618 10
8959 2687 10
7276 1312 6
1442 246 7
5869 4610 6
5832 2214 5
3783 3902 4
5076 7895 3
212 5380 2
3378 8684 7
1494 4195 4
5387 1625 9
5706 5355 8
2036 1079 8
8854 1922 9
1545 6199 8
9575 9236 10
8297 8278 7
4051 77 8
9711 3278 2
4984 5091 2
3749 4059 8
9999 6699 9
4268 6484 4
9874 5400 5
1166 478 1
6949 2936 6
3895 3314 9
2489 4438 10
8951 7424 3
6833 7499 7
6795 5517 4
4610 5961 1
2546 1400 10
1547 1404 6
7435 6376 1
3644 2740 5
9547 931 10
4452 9840 7
5619 5333 5
8401 4123 8
4614 5105 3
5425 6099 4
7138 2825 6
6105 6923 2
1320 6650 1
5381 4957 4
9936 2324 1
6944 8802 6
6893 1285 6
1183 436 6
2732 6708 2
7140 4906 2
3839 9664 1
2004 1704 7
669 5362 4
656 8039 6
1211 8516 5
405 4488 3
9992 2684 2
7424 534 2
1257 7713 7
7681 5833 7
8924 4793 2
7988 1373 1
6983 2860 9
6057 9079 2
6179 6391 10
2339 3130 6
8745 9601 6
3567 8786 4
9295 5898 10
4400 5744 8
4185 4224 3
3687 382 3
7965 2497 6
1897 6010 9
4053 8986 10
7129 1198 4
6422 3695 6
489 1726 3
6385 2776 9
6206 3112 2
108 3736 5
2279 8313 6
4219 851 8
3483 3162 4
931 2656 10
1554 6199 10
2555 7810 1
6887 4953 7
3079 1244 9
1646 9857 2
1410 2834 4
6944 403 6
4773 3893 5
4335 7614 10
5921 3573 6
8179 1152 10
3232 2281 6
7465 7447 6
1054 924 1
4242 9190 7
257 2209 5
411 228 10
1143 6408 2
6752 8788 9
6703 4372 5
9510 4422 3
9253 6115 2
2189 6680 4
5862 5034 2
9455 310 7
4700 1957 2
3747 3978 8
3681 3604 3
3482 7344 3
1819 2 6
8787 5268 9
1469 5600 2
308 4301 6
833 8412 9
1435 4503 4
5278 3798 1
795 6422 9
8795 9734 3
6298 7620 10
5606 3329 6
5095 1283 6
2393 4158 2
4330 4014 8
3980 325 1
2951 4769 1
52 7390 7
4232 450 7
1399 3232 2
4043 182 6
7190 2060 6
9738 480 10
5446 6461 8
8412 515 7
8431 9623 5
1107 346 4
4081 8914 2
3200 4730 3
2409 1237 7
7493 6267 3
4080 1851 5
3351 9112 7
9874 8396 4
3941 7038 4
3136 6864 7
8576 97 6
9340 3634 4
5429 5276 4
4348 9022 8
1640 4105 2
2040 3968 7
8335 8852 9
9582 9088 6
9152 1783 7
1320 1608 6
1887 7632 3
5559 776 5
2964 5276 8
3399 4416 1
597 8418 6
4043 2900 3
11 3961 7
9382 7327 3
9276 8350 5
5429 8746 2
336 768 4
8827 6815 10
513 9368 5
7991 7444 1
9086 1112 5
6216 1501 4
1225 5183 4
319 7361 1
7348 9395 4
1510 9657 1
4381 1937 5
7284 773 2
582 3672 3
7007 2509 4
1643 7652 6
9362 7551 4
3656 9102 1
970 8962 2
1400 8556 6
1133 4088 2
3376 8365 2
7949 2411 3
5637 8222 5
2249 6240 4
7161 7208 5
269 2624 7
8834 838 4
8589 6326 5
1993 2541 1
6608 7449 7
1620 9405 9
5956 6608 2
3153 9104 6
5373 6632 1
9512 4706 10
2837 9449 2
3449 1496 2
7428 1289 10
444 7567 1
7198 9883 7
8762 2628 10
8290 9448 3
3006 887 2
993 5558 4
7381 8019 10
6935 4796 2
8789 9400 3
3276 7492 5
6053 6251 9
9264 458 4
4912 4476 6
9339 835 10
2180 934 5
8619 6887 9
4868 3344 7
7836 3213 3
8742 4350 6
5147 9627 4
6629 1685 5
1434 9648 10
238 9412 8
9574 2009 5
5540 5407 5
1850 292 4
9102 4995 2
471 490 2
6186 9758 9
5588 7098 1
3278 3855 5
8579 1529 5
5596 2668 6
9422 7638 2
6369 1153 9
7970 8256 3
4679 3424 2
6196 596 9
4251 3865 2
387 9391 2
6672 4004 9
5441 1466 1
4966 4729 3
8913 1939 7
4451 4902 4
3275 5671 6
7881 8021 1
7904 7422 2
3359 4677 7
8117 5217 6
5160 3107 2
6665 3898 10
1382 6708 2
4340 2886 1
7385 9705 9
9837 7137 10
7808 6283 1
5476 9509 7
9860 250 3
81 1906 7
8789 35 8
4408 7025 3
7992 2016 4
8131 670 5
2279 3523 7
2431 1295 10
6986 1278 4
7307 7558 5
4504 2894 4
6458 6782 1
2605 5706 5
7458 8341 4
8278 8851 4
3991 7605 2
453 4691 1
6863 3525 5
532 5845 8
8056 7763 10
5312 7048 5
3866 3936 9
3519 65 5
9120 993 3
2124 883 9
1379 8193 4
3559 9578 7
9440 3485 3
5735 8058 9
6582 36 5
6468 3686 1
3971 1268 2
1716 5248 7
3205 6097 9
456 9597 10
5782 8023 9
3690 3923 7
2249 4673 7
4539 5577 3
739 6619 9
3893 1742 8
8247 8256 7
4222 5195 9
4234 8325 2
8371 2443 6
4516 4292 9
950 5409 3
5174 2237 5
5831 9151 5
5358 452 1
6282 2864 6
9197 2613 5
2491 4359 10
7352 4822 9
5306 166 8
4933 2770 7
3755 6854 2
5322 9711 1
1958 1520 7
5919 4931 9
1489 212 8
9663 4603 2
6609 4640 3
8913 7243 9
3985 7979 3
8651 4876 4
9392 2904 5
6054 2543 9
8456 294 7
8640 9209 2
3436 6943 10
1076 2735 3
5092 869 7
8109 640 5
8702 7405 3
3557 5480 6
7113 432 4
4038 4582 7
6330 9795 1
3760 875 3
2465 5785 8
6694 1394 3
5417 4281 7
4431 2717 10
1355 9069 2
906 4059 1
3171 3026 4
2846 8145 1
2291 8934 9
951 4488 7
5568 3580 10
3658 5607 8
6226 5147 8
5765 9573 6
1125 2930 8
567 7827 3
8742 8471 8
7290 466 9
1851 8465 1
8722 525 6
5273 7620 1
533 6260 8
6843 6926 8
1703 2206 5
5404 9453 7
9277 5844 6
8297 1909 5
6673 7239 8
307 2027 10
7169 889 8
9888 1853 4
7647 7273 6
1022 6418 10
158 8612 3
7811 3504 8
5633 7053 5
7584 8367 4
2164 5436 1
3377 7956 4
4193 8550 9
8974 9648 6
2585 4829 6
8523 3802 7
1869 6144 1
9223 50 8
3188 5930 10
4655 7646 1
6590 7465 10
5426 2172 5
5362 1759 1
2259 1218 6
9759 2696 8
305 6145 10
1375 8168 1
8971 2868 8
8990 6024 2
5398 4824 9
1620 3199 3
1330 8479 7
953 2603 6
9620 6402 10
5074 2619 7
5243 9889 2
3450 8333 5
6084 2206 1
9713 3278 2
9670 2335 10
7089 2216 10
3169 6019 7
9667 3425 2
7879 4769 7
606 5792 4
4810 2308 2
7572 1545 2
9571 9242 2
2956 4507 1
5827 6363 6
5846 6118 6
8265 3309 9
3098 67 2
5255 8942 5
293 3864 2
2317 8951 4
4362 8680 6
4818 4225 5
5855 4895 7
5471 1740 6
7350 1986 1
5688 5895 10
6251 780 9
2048 1243 8
9509 1455 5
2957 6871 3
956 2768 2
6545 2469 8
6111 8309 2
8946 4648 4
1995 7914 3
1677 5830 9
7988 552 10
2636 5381 1
688 8937 9
5823 9658 9
3872 105 2
3013 1033 2
1060 7795 7
6012 2687 9
6549 5890 5
813 8455 9
1144 614 9
2405 7508 5
1291 5617 4
6087 6086 10
5557 1952 4
4856 9252 1
2151 594 8
3236 6161 8
3158 9897 9
9212 1868 2
9132 4816 4
4603 3085 10
8765 7929 4
9603 1008 8
9953 5722 4
2947 4260 5
4000 2862 10
895 4354 3
6152 8555 1
429 7954 2
7951 2434 8
773 9346 6
8106 2633 1
9403 179 8
4755 4221 1
8996 4948 5
8388 6041 9
8599 8768 9
1083 2376 7
3464 9409 3
183 3422 7
611 4339 2
6582 197 3
6553 6382 1
3884 7743 10
3215 119 4
2134 9236 1
8812 7317 7
9368 6798 3
9041 4419 7
5398 8875 10
5714 7876 3
1237 1368 9
6108 8244 4
7624 20 8
6086 8001 7
445 6948 10
9823 526 2
1733 7739 3
3927 989 1
3166 3998 9
7543 6890 2
3247 9220 3
4652 4131 5
7954 505 10
4880 8110 8
2298 6014 4
4674 3265 5
7385 7146 6
2103 551 9
3627 8131 9
9569 8452 5
3629 9242 3
8642 1207 2
2574 1333 5
4828 6340 8
1145 6855 7
3413 251 6
4441 8210 1
5502 4269 7
8636 7095 4
4947 5223 8
4827 8704 6
9024 3367 9
259 8191 4
5976 528 6
9958 5006 5
8810 7414 1
2879 5188 6
1675 8339 1
4055 6377 10
5147 3518 9
6865 9606 7
7126 8105 4
8321 6726 3
2702 553 7
5003 3410 9
2564 3784 4
5426 7165 10
1357 9714 3
7012 3823 6
3533 7938 7
9568 9686 2
7501 3217 3
2052 2428 8
6295 9815 5
554 7384 8
9230 7174 7
1644 9263 1
654 5924 4
8036 8729 4
3606 6441 10
951 1528 1
4690 9783 1
4011 5399 9
2720 4854 8
5429 9137 8
8173 6893 6
2856 9168 4
4289 5200 6
4892 9783 4
8432 3353 9
7679 9029 8
2320 8401 5
5202 8619 5
1363 5790 5
2304 5236 3
6189 4804 10
6038 9137 9
7201 8876 4
912 2844 8
239 7964 9
8175 4686 2
7545 3499 8
3149 4138 2
2199 8268 4
5044 2438 9
7778 3753 8
5872 4066 9
1198 9355 9
489 9121 5
7867 7067 1
9060 9099 3
8559 4219 9
5760 6331 3
8455 9796 1
7995 6638 2
4296 3354 10
3018 7634 7
9307 492 10
3185 7872 4
4174 6412 8
2751 6804 2
9037 4099 5
764 8335 1
3595 4916 6
6389 9626 1
183 6774 5
9665 9227 6
8860 3125 6
688 4218 3
231 520 5
1253 1146 4
3947 4516 3
9663 4482 2
6803 255 3
841 296 7
7296 6118 4
8953 5476 6
7579 9771 9
3278 3120 9
8955 4488 10
6036 9306 4
9873 4920 8
7305 2044 8
1537 1779 1
6350 2597 9
6943 7731 2
721 2637 9
5710 3109 1
540 6914 7
9157 6026 9
3440 8831 7
7209 1026 10
6220 6365 1
3821 4395 2
3907 3633 1
6090 3846 3
2545 3967 2
3437 3595 1
5394 1826 10
3116 6028 9
5015 9488 5
1220 3350 1
6246 4170 9
5552 1858 8
2722 574 9
2078 6973 1
7205 1052 4
8586 6000 8
7082 107 8
3267 9920 5
7133 1617 3
3065 8854 3
6126 8283 10
7630 9738 2
5803 3555 9
6593 6716 2
3294 5363 8
2685 4926 6
1260 6995 1
4079 3103 2
2207 8307 6
318 2550 7
1820 6239 7
1015 9104 10
7779 7976 6
9371 8584 2
9570 1514 7
4591 3497 2
1265 2653 9
1886 6473 9
5332 9261 1
2473 6366 1
5122 784 5
9983 4241 3
872 7874 4
8416 3511 9
8772 9247 7
7321 8514 10
103 7993 5
6245 398 8
391 1214 7
5161 4221 3
6135 8134 7
9239 7243 1
5466 5400 3
4087 1215 2
7352 953 7
9808 6524 1
1577 5414 8
8956 9115 9
4529 9783 3
7852 7894 2
7916 9364 3
8335 7220 5
2976 6034 4
6544 8341 5
8942 3816 6
2777 2351 2
3322 5819 10
6036 4536 7
3803 3983 7
2206 9339 9
634 802 9
1141 928 8
6154 8934 5
6783 3187 5
238 1234 8
1896 4433 1
9886 2527 2
3489 9805 3
7745 5437 9
6799 4279 5
7747 4623 10
7180 4480 10
2564 3863 5
9911 4447 7
3177 2058 9
5689 2225 8
4407 7865 8
5574 6676 6
8572 7750 9
8453 1696 9
7213 4191 8
8007 4040 6
170 4803 2
1969 4309 7
9566 7249 2
7068 7422 7
3912 7165 9
5844 6923 3
4201 6860 8
2976 9729 9
3270 4832 8
6018 5384 10
9328 1269 8
4952 1470 4
6060 776 6
7950 6793 9
7999 2402 9
8215 5449 7
2043 6509 5
2223 2974 8
4193 2226 9
8760 9458 7
3471 1771 6
3213 3254 9
9114 2277 2
8170 9242 1
3300 554 5
5438 4768 2
8018 2370 7
961 7886 9
3798 3848 6
1932 8855 2
1010 2365 7
5527 1449 9
3989 2832 9
7731 2772 2
5861 9646 2
7753 3939 5
2973 6741 7
595 2678 2
7711 9875 8
410 7873 5
6631 267 4
2684 2470 8
9392 230 6
267 4048 3
8646 1287 6
3030 7335 6
5853 2315 8
6596 9084 6
8290 781 7
320 6894 5
9338 1425 5
344 8343 6
1541 8488 1
825 34 7
4150 6602 6
531 6462 7
2445 547 7
9382 8318 1
1240 0 9
412 7659 1
2302 8368 4
310 6969 9
9589 5288 7
5490 7233 8
7157 2458 8
943 118 1
9992 2701 4
7137 7269 7
9453 8394 9
7270 7291 10
7535 1891 5
1444 8446 10
3283 4125 6
9080 7233 3
3313 359 10
3254 1058 9
670 8940 4
7870 2185 1
43 3244 2
5301 3233 5
8931 5354 3
5659 9802 5
1740 1019 2
5578 9837 2
7148 9285 3
6684 925 5
9718 8859 6
9631 7503 7
8606 3373 5
5927 154 8
7913 4980 2
2745 9460 2
6639 7402 10
7063 1037 10
8742 3391 9
3081 6298 9
8039 3414 6
1155 3261 7
5195 2363 9
4149 3656 6
5562 746 7
5372 3729 8
2780 7653 8
4840 9246 5
5208 8261 6
7545 5175 2
4720 7140 1
2186 3997 8
6368 587 8
8027 7936 3
4460 4518 7
6355 9720 9
8073 4 7
6420 1969 5
1914 6941 4
2850 5569 1
2655 7073 5
5507 1567 1
6772 6296 2
4313 7146 6
5832 8547 4
5800 6399 1
7727 3599 4
2357 6074 2
2041 6284 1
1677 1841 7
7191 3631 2
6227 8928 1
6983 2548 10
4614 9999 10
5336 1323 3
8033 1047 2
8971 1028 5
8997 4832 9
4980 1443 1
4822 897 3
5995 7333 6
9927 4594 10
4770 9415 1
2215 546 2
1611 4391 8
3923 458 7
3472 9193 4
8713 7183 6
4636 4151 8
8947 5587 1
5934 8013 3
5993 9001 8
1951 4747 10
7634 1384 8
7954 8062 6
764 9637 1
194 5690 7
8838 2629 1
3453 3198 8
3926 9614 4
3130 4771 6
5712 5683 4
5789 3 1
7756 1503 6
7467 2657 10
8682 5963 2
4219 7915 7
3015 6716 8
9120 6961 3
9902 5465 8
1545 1815 4
7981 8247 8
253 9834 10
5016 3815 8
4629 9449 4
8354 7128 3
1249 8 4
8596 4308 9
5551 372 2
5739 9448 1
7874 5232 5
9889 5211 3
8383 3437 2
7436 8418 5
818 1425 8
2804 3226 10
6164 4841 9
9725 587 9
9928 7304 10
742 2362 4
5437 7839 9
5878 9300 8
7940 343 7
4832 1969 6
6116 154 8
975 5535 9
4564 8916 2
5935 9745 10
6307 8173 4
9478 6712 4
8107 2263 5
2399 2535 6
629 4204 7
7424 971 7
5704 667 7
1005 7636 2
8768 8553 8
9428 6436 2
1022 7684 6
9217 7692 7
3530 3724 9
2807 1442 3
2396 5104 4
7544 6722 7
4535 4451 2
1355 9320 9
6820 850 7
2149 6602 4
7703 2165 6
8668 2380 9
2488 3410 1
1315 3910 1
4998 1924 1
4618 7683 2
5994 566 5
6620 5993 6
5363 170 9
4167 2362 7
9539 682 2
627 1654 4
7328 1941 6
4490 840 8
6046 2552 2
3218 4004 1
4404 2081 9
6796 6209 5
8343 9685 5
5150 8513 10
3642 9515 6
4117 9960 1
3594 2556 2
8706 3874 9
9031 3000 3
7662 3169 9
1173 3026 6
2105 3562 8
2735 3308 7
3710 4334 1
861 3894 10
5246 6665 1
8895 7923 10
9811 6598 4
1331 2799 2
1560 2897 7
873 4670 1
9147 8147 8
6595 25 4
4128 7347 9
205 1931 1
410 2485 1
5861 8670 10
7063 1027 1
6574 2816 9
6230 4150 6
7288 3761 6
3663 2061 9
7110 4833 4
5051 4659 1
3999 709 2
4669 1287 4
5660 8515 10
8559 1808 1
9437 990 7
7882 6550 1
7193 2694 5
2997 9903 6
6287 8490 2
4150 9573 2
4424 5289 9
253 3009 6
7420 2577 2
4819 5749 5
401 5702 8
4462 5332 10
5767 1622 1
173 1754 7
2829 340 4
2059 8394 2
3347 3714 9
8679 4896 6
2594 8589 5
5793 1917 8
5601 7909 4
3824 1044 2
9384 3202 9
5144 4684 9
7922 3470 8
5225 9832 8
8656 6115 3
9182 9636 1
7973 8318 5
8894 9659 7
8454 5593 5
140 5516 6
5854 1290 2
7864 2432 5
953 3753 9
8445 6276 3
208 4238 6
777 543 10
4978 7072 6
693 1050 9
8485 5519 10
8966 6333 2
6853 2923 1
1949 2845 8
4285 4204 3
9119 3320 4
411 2751 9
2317 3959 1
9918 1036 9
3932 88 7
8650 2095 7
742 8839 7
6823 323 6
9480 6358 3
1200 1791 3
5827 9297 2
9559 9435 10
8736 2199 4
2968 532 2
8914 8721 4
3659 8547 3
6981 430 9
948 9265 2
6100 5486 7
1571 5974 4
877 6735 6
9549 5984 4
1791 7362 9
6998 9984 3
7515 2863 5
9312 2609 6
2834 4220 10
6811 2174 6
2299 8795 7
9548 6630 2
4485 4658 2
8222 4041 2
3297 4361 10
1464 6177 1
3253 5866 9
3438 3157 3
3015 4177 8
7422 5564 1
6290 9242 3
1718 4633 10
5549 4565 6
6476 7514 10
6522 3569 2
3491 820 8
5184 6824 10
2594 3599 1
8808 3258 1
2259 2586 7
7542 6642 6
9848 3044 7
3157 7601 6
1398 932 6
6678 6110 2
6680 3566 8
6613 7498 8
7679 8940 7
2479 710 10
8535 3523 8
2070 6576 10
6124 1110 10
2101 3794 7
1347 2313 3
55 3921 5
7077 2400 9
8338 3248 4
7430 136 5
5409 9193 1
8619 8112 2
549 3778 5
5456 6426 1
5252 1482 3
4424 3304 5
4083 1874 5
9027 3217 4
3904 3081 5
2091 6488 3
7153 3813 1
4523 3551 9
3693 4928 3
8398 8537 9
1933 6704 10
2382 4245 4
6219 3160 7
4858 4395 10
766 4775 8
6727 3765 9
5632 1451 7
9444 8506 9
8945 8207 1
4395 8301 3
3924 7171 9
7988 5705 7
3977 2240 3
7138 8945 4
8309 9817 6
9716 6793 2
5546 3926 10
9979 107 10
7232 6522 2
3705 8412 5
963 6558 5
2339 6905 7
6568 610 6
2344 5053 5
5312 950 4
9993 3599 3
9803 1205 5
6885 9063 1
7222 2397 9
4452 1089 3
2989 5895 1
6840 1159 8
2050 7608 3
1942 671 9
8924 7538 5
7028 2495 9
6875 448 1
6307 4016 2
4551 1185 2
354 4287 7
2937 4057 8
6273 6555 6
8582 8666 9
1066 4412 10
6750 2140 6
9358 7679 2
4225 1110 5
1638 7517 3
8085 8387 2
3266 3519 10
4561 3177 2
1249 9788 3
441 8308 7
1317 7572 1
9361 4912 9
741 9709 9
687 686 4
5913 4830 8
6704 8306 3
5763 2265 9
5479 9661 8
5540 5367 3
7844 604 5
8540 161 10
5950 3501 9
7287 1941 8
187 807 8
7809 395 5
8136 3732 2
2600 2909 3
8025 4017 10
5930 6160 9
8725 5158 5
6117 6701 6
6599 4953 2
6391 6148 6
8095 1132 1
6022 8916 6
5653 5296 7
1354 4251 5
7833 1096 5
1331 3940 4
3759 8732 9
3259 847 4
8215 2787 4
5950 8653 9
8173 2491 2
9613 6190 7
7293 7295 1
6984 8433 3
5757 3927 4
6507 3550 8
1412 6932 7
3114 6176 6
3613 6933 2
6800 9735 2
6183 6094 3
5826 4759 2
4358 3929 5
281 8404 8
5790 6899 4
742 1343 4
1333 1643 10
5967 5203 10
4845 3900 8
4157 7593 6
8617 8586 3
6451 6852 3
4844 1810 7
9315 8662 9
5277 5270 7
811 5382 7
1682 5472 4
8562 9534 8
7115 3584 3
8493 6495 3
7407 6205 4
835 7559 6
4868 9414 6
4062 8564 6
9574 3428 4
5900 3834 5
7835 9220 7
730 4377 3
4940 1876 7
6023 9438 2
6512 8851 9
1187 6436 8
5532 7523 7
5241 2695 6
2941 2707 5
215 1295 4
8169 5904 3
932 3189 4
556 3729 7
7928 6404 7
9047 8423 4
2218 5471 1
3222 4406 8
4486 7667 3
6179 3737 8
9779 1485 10
8438 9656 7
1890 8137 8
215 9461 4
2377 8494 6
1401 9190 8
1383 638 9
5399 2309 6
2659 4400 9
9418 3169 5
4888 2579 7
1541 3078 9
4626 8600 9
7345 9793 10
8349 7536 8
821 1062 10
8098 4653 1
8088 9076 1
9517 9169 9
3546 3291 9
6951 1051 9
7622 2716 10
8278 3531 3
9251 8899 4
5547 2655 2
9899 395 4
9406 9648 8
6886 9403 10
641 6795 1
9486 7624 4
1544 7877 5
3848 9132 1
534 3997 2
2667 4884 4
7348 1722 7
1475 7334 6
7289 1365 10
1847 1788 3
9585 7123 5
7403 3721 2
701 1094 9
7621 800 8
8940 540 3
9121 5461 6
2226 8515 1
8418 4904 10
3880 9712 7
6105 6719 6
1909 5433 10
6005 3193 1
4573 4353 4
1914 6637 5
3276 4980 9
4742 215 4
5964 5165 6
2435 5489 3
4787 7030 5
9803 3854 5
3404 4186 6
8914 3385 2
4931 2064 10
1416 2592 3
6891 1298 9
2999 3787 2
2176 1700 8
8002 4683 9
8846 3528 1
1368 4523 9
7365 9941 1
68 3102 8
9260 5459 8
9004 7608 8
728 7572 2
1149 386 3
2930 7969 7
7466 13 6
4273 1330 5
5021 2255 10
1331 9678 8
9434 1323 8
3105 2935 3
1219 8719 6
7302 5628 6
9817 7523 7
8261 9782 8
6975 4558 10
135 6491 5
8937 2146 9
2748 6944 9
9069 2792 7
5090 4135 1
5074 7501 10
2896 8178 2
4425 7777 7
1132 7111 3
5281 5739 5
9068 9224 4
1323 6988 4
9723 584 6
4176 1251 8
4539 9114 1
4915 566 1
8694 6184 1
6800 1804 6
241 5867 2
6320 5141 6
4587 3658 1
975 1240 1
4353 9488 4
3343 9186 4
9912 2957 6
6769 4401 6
3360 9536 6
6056 8974 7
6228 8524 2
4409 3511 1
4948 2281 5
3507 2502 9
1918 3096 9
2684 7375 7
634 9263 5
1051 5636 10
5838 3594 3
7397 341 8
7843 5865 9
8477 1689 5
5804 5179 6
5592 3238 5
5620 7424 5
7358 6014 9
2334 790 6
775 3373 3
7180 6706 1
4665 5074 9
4014 7752 4
915 7593 6
2712 4018 2
9878 4607 1
307 169 4
9566 9501 2
1157 845 2
2755 8231 5
6849 1801 7
4166 2041 9
9467 8334 2
5792 3210 7
9635 8314 1
5414 8057 3
635 3325 6
6644 8811 4
627 2867 4
6779 2020 6
2916 7356 3
9668 864 5
1415 4709 3
6155 1922 3
3034 7860 6
9277 3527 9
2084 7503 4
2708 6981 8
8571 3686 4
9293 1579 8
1786 2364 3
3061 9604 2
5560 95 4
1588 9601 6
315 7435 3
1996 8931 7
9566 8231 2
4732 6136 3
6210 4387 10
3543 2449 8
3567 4900 1
4788 4083 9
9052 6069 9
8938 3156 2
5772 3530 1
7050 4355 9
2763 9893 7
4336 356 8
8407 5934 5
6302 9860 4
7108 1717 5
5260 5022 3
3574 6653 8
2187 9848 8
3979 3585 10
7155 2111 9
8526 8646 9
8384 24 5
2127 4449 6
2868 7378 3
6411 4186 1
627 5038 6
6231 9474 10
9751 5008 10
1428 7840 5
4256 2776 2
6531 6105 6
2543 7696 5
7467 8961 2
8741 7794 1
6110 1904 10
8108 9297 9
9653 3651 5
4859 7236 5
6845 1745 6
460 6739 5
1628 9128 3
1840 7995 1
7847 6669 8
1503 7909 9
1236 6781 1
5281 459 7
7563 3271 7
3057 215 4
5136 8527 3
676 7822 6
5343 3579 7
7274 1940 7
4829 1791 3
8711 271 4
6980 6202 2
3115 2761 8
2436 819 4
6207 9065 8
2654 4249 10
5744 9421 6
2387 3385 7
5473 1696 10
6795 5185 9
5785 6895 5
9492 1178 1
2733 9141 2
8870 1854 4
7052 658 3
4855 2148 10
1604 322 7
4243 825 3
5526 5615 2
259 9062 9
9569 6761 6
5961 2123 8
4507 4047 8
4018 8244 5
7254 1739 1
1500 9433 4
9183 7826 2
5310 5299 5
1702 2054 8
3822 714 9
7072 3905 4
8724 8169 9
6927 9515 10
6006 8040 10
829 9037 3
3488 6930 6
9486 9429 6
9918 9053 6
2216 4173 10
9592 9118 3
2743 6392 4
4503 1360 10
9365 258 1
3480 5876 2
4219 543 2
7430 5222 7
8183 2356 8
6878 2298 2
8884 7280 9
8772 8111 8
7705 1424 9
3372 7874 7
8877 4740 1
9524 4122 8
6081 5121 1
1340 1066 2
1159 1809 1
2084 7748 4
7181 1712 5
671 7698 9
5526 8924 6
2551 8078 1
9250 1948 9
3020 3868 10
746 7407 6
6297 6323 4
3871 2260 1
8249 4498 8
7334 7881 4
6780 2716 6
6971 4798 3
4250 7336 8
4503 8552 1
3372 4939 2
1361 8879 6
6591 9391 7
4863 9574 10
3535 1792 9
3410 1706 5
3143 8333 1
136 5259 7
2212 3093 3
4964 8009 9
1556 5633 6
5470 7786 7
2105 8159 8
7741 4685 1
1959 7449 5
1519 9318 6
978 8634 5
7766 949 3
7956 8226 2
3021 6759 6
1322 2975 10
6568 6207 6
2997 4328 8
7496 429 5
1871 766 6
4327 3613 7
5690 4266 8
4693 8864 4
3086 9040 4
4865 2807 5
5895 4532 7
3212 3793 1
9039 7116 3
3498 3079 8
8197 6526 9
4962 9453 7
2227 6650 6
9691 3520 10
2617 7676 10
7793 7318 6
1372 4066 10
1993 5765 3
361 5151 5
8680 5734 8
8486 2506 9
5164 8086 8
7234 7289 7
1878 4882 2
6721 1469 2
7398 9910 8
9429 2749 2
5493 967 4
5273 4525 1
4287 8941 10
721 1918 9
9695 5056 8
4709 1617 6
8983 3283 5
186 5007 6
7856 2304 7
8923 4739 5
1019 6431 3
3490 8495 5
534 8013 5
3153 1111 3
5118 6024 10
8386 115 5
4113 4722 6
419 2151 3
3444 7471 8
1046 2495 1
3217 4433 7
7213 7792 4
2939 1081 7
6013 4495 8
2895 5507 2
1220 4623 1
170 9065 4
3681 6099 7
9444 8211 7
483 4367 2
4818 9824 2
5136 8037 6
4307 7660 10
5365 7200 10
1951 3157 6
5529 9175 9
619 2956 2
7461 1980 10
9592 4076 9
2125 2132 5
8910 6594 7
6888 7169 8
8713 311 7
2912 1412 9
3008 9581 5
1126 1886 10
3311 4504 9
417 6148 4
7831 7361 8
4701 8819 2
7516 2425 9
5654 1242 2
510 8093 5
2661 9763 6
1236 7271 3
4918 1832 10
611 5560 8
7956 489 10
5565 4573 2
7623 6978 1
4043 8850 3
925 3029 3
3452 9564 9
768 5009 5
9982 4641 10
6771 3193 7
2457 1870 4
6902 8689 6
6548 679 1
8013 443 10
6453 3046 6
6120 1757 5
5361 8196 6
2666 6009 2
8611 7675 4
719 7440 5
7919 8249 5
5076 1163 10
8422 3541 3
2403 4855 8
8748 554 7
4602 5398 2
7059 7074 8
3566 7959 6
9294 3723 1
9268 2258 1
8587 9247 3
7603 3161 8
4238 2770 8
8359 9962 4
3622 5211 3
2290 389 8
7986 8208 2
3542 9080 5
404 4572 5
1642 1227 7
6852 5871 8
7011 6310 9
274 7167 3
4184 4506 9
6373 4066 4
8565 7452 1
9462 2835 1
415 4478 2
8089 9104 8
1622 8834 7
9868 3113 7
7704 8690 4
2626 3304 10
1553 9534 9
3907 5333 10
2306 1418 8
4503 9254 4
9607 4237 10
7631 2286 10
1467 9242 1
6075 7778 7
5358 8885 10
196 7302 2
5807 8428 8
9408 8245 4
1974 3612 4
8892 149 2
921 8450 10
1703 4700 9
6859 5567 5
2922 2359 4
192 9607 2
4705 3654 9
3276 115 5
2255 7379 10
9838 8476 5
1975 2033 1
5140 9077 10
1073 7004 8
1491 2170 3
3895 1670 9
6452 8191 2
9091 2584 6
7700 3536 8
2554 2356 4
8242 6077 10
9293 2458 4
8912 8455 3
2807 906 2
7807 4821 4
5114 4736 8
358 570 4
4113 6280 4
258 8816 5
1016 7598 2
1734 1104 10
8940 2102 5
561 2268 6
4759 3664 5
1877 5057 2
8052 5974 10
1763 1238 3
329 9338 3
4135 5566 3
1306 9077 7
2697 7340 9
9365 871 5
4122 8647 4
2607 7996 3
6360 4985 6
5761 6532 2
2408 2607 10
2445 7012 3
4146 5007 1
5009 8527 10
6358 2880 6
3462 4245 3
2121 3301 2
4728 799 2
7459 740 2
7131 1402 6
1602 9507 9
2692 7746 3
1777 352 4
